Date,Open,High,Low,Close
2020-01-01,299.05999755859375,299.0799865722656,287.989990234375,290.0899963378906
2020-01-08,288.8800048828125,306.3500061035156,287.80999755859375,298.9700012207031
2020-01-15,298.94000244140625,300.3699951171875,282.760009765625,287.19000244140625
2020-01-22,288.1700134277344,290.8500061035156,276.239990234375,281.95001220703125
2020-01-29,282.04998779296875,288.1199951171875,267.5899963378906,283.2900085449219
2020-02-05,285.6300048828125,374.989990234375,279.17999267578125,332.2900085449219
2020-02-12,331.6600036621094,344.0,329.0,337.1000061035156
2020-02-19,338.0,343.0,322.70001220703125,324.1099853515625
2020-02-26,326.9800109863281,333.0,299.0,315.7799987792969
2020-03-04,319.2900085449219,328.45001220703125,289.5799865722656,305.6300048828125
2020-03-11,295.989990234375,314.6499938964844,266.010009765625,305.32000732421875
2020-03-18,293.7099914550781,306.739990234375,262.25,276.19000244140625
2020-03-25,274.7300109863281,321.4100036621094,268.1300048828125,316.3800048828125
2020-04-01,308.80999755859375,319.6000061035156,290.0,301.2099914550781
2020-04-08,305.25,336.5,301.010009765625,333.760009765625
2020-04-15,329.45001220703125,350.239990234375,322.8599853515625,329.010009765625
2020-04-22,302.75,312.8299865722656,289.0199890136719,305.2200012207031
2020-04-29,308.8399963378906,313.3399963378906,291.8800048828125,304.44000244140625
2020-05-06,305.04998779296875,335.0,304.9800109863281,319.7699890136719
2020-05-13,320.8999938964844,327.20001220703125,308.6600036621094,310.0799865722656
2020-05-20,311.5799865722656,314.5799865722656,294.8900146484375,295.8699951171875
2020-05-27,297.0,307.82000732421875,291.8299865722656,302.8599853515625
2020-06-03,303.0400085449219,308.2699890136719,291.0,293.739990234375
2020-06-10,296.0799865722656,296.80999755859375,272.0199890136719,282.1199951171875
2020-06-17,283.6000061035156,285.2799987792969,258.95001220703125,268.19000244140625
2020-06-24,266.8999938964844,271.4200134277344,257.6000061035156,267.54998779296875
2020-07-01,266.8900146484375,272.04998779296875,261.8699951171875,268.3500061035156
2020-07-08,294.32000732421875,294.989990234375,274.1400146484375,281.2699890136719
2020-07-15,282.1300048828125,285.0,276.80999755859375,280.19000244140625
2020-07-22,285.3599853515625,287.25,270.6600036621094,280.3500061035156
2020-07-29,281.19000244140625,283.4200134277344,269.30999755859375,276.0799865722656
2020-08-05,276.6499938964844,312.0,274.42999267578125,289.94000244140625
2020-08-12,290.69000244140625,296.2699890136719,285.04998779296875,288.8800048828125
2020-08-19,284.79998779296875,286.95001220703125,274.6400146484375,279.0299987792969
2020-08-26,279.1400146484375,287.95001220703125,276.0,279.75
2020-09-02,281.05999755859375,288.0299987792969,268.0400085449219,268.8999938964844
2020-09-09,270.1400146484375,283.2900085449219,265.7900085449219,278.45001220703125
2020-09-16,280.989990234375,285.0,265.04998779296875,272.760009765625
2020-09-23,273.1099853515625,287.95001220703125,267.5,282.3500061035156
2020-09-30,283.8699951171875,286.1700134277344,276.05999755859375,281.1499938964844
2020-10-07,282.239990234375,293.3399963378906,280.8999938964844,291.4599914550781
2020-10-14,292.989990234375,292.989990234375,266.0899963378906,267.1199951171875
2020-10-21,264.989990234375,271.0400085449219,254.92999267578125,255.3000030517578
2020-10-28,251.02999877929688,255.8000030517578,243.25,247.00999450683594
2020-11-04,253.1999969482422,363.9200134277344,223.25,236.33999633789062
2020-11-11,239.8000030517578,254.41000366210938,238.0800018310547,248.80999755859375
2020-11-18,248.80999755859375,251.50999450683594,240.07000732421875,242.50999450683594
2020-11-25,243.10000610351562,244.47000122070312,239.55999755859375,243.16000366210938
2020-12-02,246.88999938964844,249.75,243.1699981689453,246.42999267578125
2020-12-09,248.0,250.8800048828125,240.35000610351562,248.72999572753906
2020-12-16,249.07000732421875,254.0,242.58999633789062,247.8699951171875
2020-12-23,247.0,253.41000366210938,242.5399932861328,243.4600067138672
2020-12-30,244.5,247.25999450683594,238.39999389648438,246.38999938964844
2021-01-06,244.6999969482422,275.489990234375,243.02000427246094,267.3900146484375
2021-01-13,269.6099853515625,282.6000061035156,265.0400085449219,273.8399963378906
2021-01-20,274.30999755859375,277.0199890136719,267.6700134277344,271.6700134277344
2021-01-27,267.70001220703125,296.3800048828125,262.989990234375,277.7200012207031
2021-02-03,269.989990234375,278.54998779296875,260.9700012207031,269.30999755859375
2021-02-10,271.45001220703125,283.0,268.4599914550781,279.32000732421875
2021-02-17,276.07000732421875,288.0799865722656,272.0,279.0799865722656
2021-02-24,278.75,285.7099914550781,269.30999755859375,269.8500061035156
2021-03-03,267.79998779296875,278.8699951171875,262.45001220703125,266.489990234375
2021-03-10,269.5199890136719,271.42999267578125,250.4199981689453,259.9200134277344
2021-03-17,258.5,273.8599853515625,257.2200012207031,267.2099914550781
2021-03-24,267.0400085449219,280.0,264.3599853515625,276.010009765625
2021-03-31,276.32000732421875,281.8800048828125,271.29998779296875,271.760009765625
2021-04-07,272.0,272.20001220703125,262.4200134277344,266.19000244140625
2021-04-14,267.44000244140625,274.80999755859375,264.6300048828125,273.20001220703125
2021-04-21,272.6300048828125,273.3900146484375,257.0299987792969,267.3900146484375
2021-04-28,268.25,275.54998779296875,264.0199890136719,271.0199890136719
2021-05-05,271.0,281.5299987792969,268.5,278.3900146484375
2021-05-12,277.1700134277344,284.57000732421875,273.07000732421875,281.010009765625
2021-05-19,278.3699951171875,290.3599853515625,272.9599914550781,273.45001220703125
2021-05-26,273.29998779296875,274.3500061035156,264.1199951171875,267.1499938964844
2021-06-02,269.2699890136719,468.54998779296875,266.42999267578125,395.3699951171875
2021-06-09,395.0,427.5,390.8399963378906,396.0799865722656
2021-06-16,394.29998779296875,403.010009765625,369.489990234375,374.3999938964844
2021-06-23,376.010009765625,376.010009765625,333.2799987792969,345.7200012207031
2021-06-30,345.0,350.3800048828125,340.2699890136719,344.8900146484375
2021-07-07,344.95001220703125,372.1199951171875,344.3900146484375,351.9200134277344
2021-07-14,351.3299865722656,358.7699890136719,317.260009765625,322.489990234375
2021-07-21,321.4100036621094,335.0,318.2900085449219,333.9599914550781
2021-07-28,333.75,338.3599853515625,325.0899963378906,338.0
2021-08-04,336.9200134277344,347.3399963378906,333.0,337.2200012207031
2021-08-11,337.3900146484375,350.07000732421875,334.6099853515625,349.7900085449219
2021-08-18,349.42999267578125,351.8599853515625,337.0799865722656,349.3999938964844
2021-08-25,347.239990234375,347.739990234375,337.8999938964844,338.9100036621094
2021-09-01,340.7799987792969,341.2900085449219,325.2200012207031,327.239990234375
2021-09-08,330.2200012207031,330.2200012207031,294.3399963378906,295.95001220703125
2021-09-15,298.989990234375,304.2099914550781,292.7300109863281,295.5400085449219
2021-09-22,289.44000244140625,299.8299865722656,284.25,284.7099914550781
2021-09-29,285.760009765625,289.3299865722656,277.4100036621094,280.44000244140625
2021-10-06,280.1199951171875,290.760009765625,279.1199951171875,284.7900085449219
2021-10-13,284.8999938964844,287.92999267578125,266.29998779296875,268.1300048828125
2021-10-20,270.1099853515625,277.8699951171875,264.3500061035156,271.1199951171875
2021-10-27,270.1700134277344,274.75,259.6300048828125,272.510009765625
2021-11-03,271.5299987792969,284.5899963378906,267.0,270.0299987792969
2021-11-10,270.0299987792969,276.5,260.8599853515625,261.54998779296875
2021-11-17,254.55999755859375,261.4100036621094,249.52000427246094,254.14999389648438
2021-11-24,253.17999267578125,253.17999267578125,228.67999267578125,235.74000549316406
2021-12-01,236.97999572753906,239.5800018310547,221.72000122070312,226.8300018310547
2021-12-08,227.17999267578125,236.88999938964844,225.89999389648438,230.75999450683594
2021-12-15,230.1999969482422,243.42999267578125,228.9499969482422,234.64999389648438
2021-12-22,236.25999450683594,236.9600067138672,231.2899932861328,235.99000549316406
2021-12-29,235.0,265.5400085449219,234.1300048828125,241.72999572753906
2022-01-05,241.72999572753906,249.0,230.5399932861328,241.52000427246094
2022-01-12,223.10000610351562,239.63999938964844,217.10000610351562,233.80999755859375
2022-01-19,235.50999450683594,235.50999450683594,214.8800048828125,222.30999755859375
2022-01-26,223.13999938964844,231.22000122070312,217.9199981689453,229.3699951171875
2022-02-02,228.6699981689453,228.77000427246094,212.55999755859375,222.38999938964844
2022-02-09,224.3300018310547,228.52999877929688,211.2899932861328,217.3699951171875
2022-02-16,216.72999572753906,216.72999572753906,207.61000061035156,209.80999755859375
2022-02-23,210.07000732421875,213.8000030517578,200.36000061035156,210.33999633789062
2022-03-02,210.33999633789062,218.22000122070312,201.00999450683594,202.00999450683594
2022-03-09,206.13999938964844,209.6999969482422,192.6699981689453,197.36000061035156
2022-03-16,201.22999572753906,212.11000061035156,198.05999755859375,210.9199981689453
