Date,Open,High,Low,Close
2020-01-01,53.13721185648653,53.78113847086469,51.946385899831135,51.98167037963867
2020-01-08,51.94639142942634,52.996082943502465,51.62001836874782,52.42272186279297
2020-01-15,52.308041263361524,54.02812088703337,51.82289146307282,53.4106559753418
2020-01-22,53.842883632951136,61.120140895554655,53.78113747688573,59.37359619140625
2020-01-29,59.65587131194654,60.035171088842034,56.162788281150064,57.74173355102539
2020-02-05,58.82670389720221,59.726434565986125,57.72408915466851,59.46181106567383
2020-02-12,59.923055868327296,60.357407495972126,58.39838528299819,58.62886047363281
2020-02-19,58.85047840369189,59.648272060100396,52.7074773938001,52.946815490722656
2020-02-26,53.28365096973932,53.913019511109134,47.51295261477331,49.613807678222656
2020-03-04,50.535695250213514,52.042636541397336,44.32178279079665,47.849796295166016
2020-03-11,46.44036842960066,48.75396627953991,38.675192742748735,44.392704010009766
2020-03-18,41.405419297983755,48.434856123172885,40.03144435514585,46.449241638183594
2020-03-25,46.52016430851102,49.72906191858782,44.24202389084913,47.97391891479492
2020-04-01,46.5378801388184,54.50693957806153,45.40324338131836,51.767852783203125
2020-04-08,52.290852033283784,53.98394436355708,49.69359473448716,53.77119827270508
2020-04-15,52.95568428616789,55.074265631437186,49.57836215384211,49.959529876708984
2020-04-22,51.65261334289371,53.62936472791307,49.729045940562095,52.078102111816406
2020-04-29,52.68974158311451,54.98561039019693,49.915200024421644,52.078102111816406
2020-05-06,52.335172067227326,53.93075588043263,51.64374982236705,51.75898742675781
2020-05-13,52.1048465920385,55.06443722551057,50.009953398684466,53.74510192871094
2020-05-20,54.52066378039786,57.17716400134875,54.395862281517445,55.572566986083984
2020-05-27,55.554735074728605,56.74926899388231,54.226486727665424,55.37644577026367
2020-06-03,55.670627366368855,58.04186609320258,54.681124890782094,56.19657897949219
2020-06-10,55.97371488551424,57.31087957900143,51.81067370481958,53.84316635131836
2020-06-17,54.14625440152656,54.62763108229142,52.44359824764113,53.41526794433594
2020-06-24,53.16566468476647,53.4687554676345,50.598307665212914,53.33504104614258
2020-07-01,53.40635675359378,53.51332897496936,51.82850203581524,51.98004913330078
2020-07-08,52.10484872509767,54.0392785771213,51.12425929638917,52.57731246948242
2020-07-15,52.62188769912284,55.207074176809265,52.06028096685667,54.110599517822266
2020-07-22,54.654388690684286,55.06445178311605,43.80552221079928,43.89466857910156
2020-07-29,44.11752040105986,44.12643333577915,41.87108338680448,43.796600341796875
2020-08-05,44.32255522083301,44.33146815621899,42.52183962072844,42.95864486694336
2020-08-12,43.68118545588458,44.488934275311905,43.29526482402484,43.663238525390625
2020-08-19,43.788894958471296,45.054366039660394,43.30424558516128,44.3632926940918
2020-08-26,44.327395118853254,46.22111514136611,44.129944599370525,45.583892822265625
2020-09-02,45.96084220379658,47.28016451100221,43.842747738020265,43.89659881591797
2020-09-09,44.45304920273134,45.41337123489764,43.717101541139996,44.874874114990234
2020-09-16,45.332590536419936,45.799289578468844,43.82479810845984,44.829994201660156
2020-09-23,44.72230030592763,46.43652032642552,43.4568255940641,45.942893981933594
2020-09-30,45.987758978997014,47.316054451438276,45.76338467438842,46.10443115234375
2020-10-07,46.53523117469205,48.72512666204341,46.48138353069509,48.312278747558594
2020-10-14,48.47383577271807,50.46628120748664,47.226314864887684,47.95328903198242
2020-10-21,47.69301545020236,48.66231437015628,40.710486164440994,40.96178436279297
2020-10-28,40.288654926603805,40.800228135008396,39.13985943035219,40.25275421142578
2020-11-04,40.48610761133412,42.49649983777362,40.1899318307257,40.78227996826172
2020-11-11,41.49475484257149,42.263174823567105,40.27431884803575,41.16026306152344
2020-11-18,41.17835749973917,42.760401996589835,40.40993726641646,42.498233795166016
2020-11-25,42.516310847854996,45.409192639942106,42.10046001704916,44.803497314453125
2020-12-02,44.496124130810216,47.59693102968575,44.45996229296975,45.82503890991211
2020-12-09,45.45439552380013,46.412663679072644,44.4057262089248,45.80696487426758
